A,Q393762
FBR,unknown
FC,unknown
FCF,Q5452773
FCFS,unknown
FCN,unknown
FCT,unknown
FDP,unknown
FDS,unknown
FDX,Q459477
FE,Q1419248
FEI,unknown
FEO,unknown
FET,Q20708639
FF,unknown
FFA,unknown
FFC,unknown
FFG,Q5424650
FHN,Q1419446
FHY,unknown
FICO,unknown
FIF,unknown
FII,unknown
FIS,unknown
FIX,unknown
FL,Q63335
FLC,unknown
FLO,unknown
FLR,unknown
FLS,unknown
FLT,unknown
FLY,Q5426582
FMC,Q899183
FMN,unknown
FMO,unknown
FMS,unknown
FMX,Q1435628
FMY,unknown
FN,unknown
FNB,Q5426765
FNV,Q5484477
FOF,unknown
FPT,unknown
FR,unknown
FRA,unknown
FRC,unknown
FRT,unknown
FSD,unknown
FSS,Q1400073
FT,unknown
FUL,Q20486915
FUN,Q657648
G,unknown
GAB-G,unknown
GAB-H,unknown
GAM,unknown
GAM-B,unknown
GATX,unknown
GBAB,unknown
GBL,unknown
GBX,Q7738224
GCH,unknown
GCO,unknown
GD,Q502940
GDL,unknown
GDO,unknown
GDOT,Q16975278
GDV,unknown
GDV-A,unknown
GDV-D,unknown
GE,Q54173
GEF,unknown
GEF.B,unknown
GEL,unknown
GEO,Q1502794
GES,unknown
GF,unknown
GFF,Q16840288
GFY,unknown
GG,unknown
GGG,Q5591659
GGP,Q3100500
GGT,unknown
GHC,Q3121014
GHL,unknown
GHM,unknown
GHY,unknown
GIB,Q1798370
GIL,unknown
GIM,unknown
GIS,Q629998
GLOG,unknown
GLP,unknown
GLT,Q726654
GLW,unknown
GM,Q81965
GME,Q202210
GMED,Q18344949
GNC,unknown
GNE-A,unknown
GNRC,unknown
GOF,unknown
GPC,Q5533818
GPI,Q5611081
GPK,unknown
GPM,unknown
GPN,Q5570544
GPS,Q420822
GPX,unknown
GRA,Q498746
GRC,unknown
GRR,unknown
GRX,unknown
GS,Q193326
GS-A,unknown
GS-B,unknown
GS-C,unknown
GS-D,unknown
GSH,Q837982
GSK,Q212322
GTS,Q7843323
GTY,unknown
GUT,unknown
GVA,Q5595849
GWR,Q1230295
GWRE,unknown
GWW,Q1627894
GXP,Q5599779
GYB,unknown
GYC,unknown
GZT,unknown
H,Q1425063
HAE,Q16980281
HAL,Q656165
HBI,unknown
HCA,unknown
HCI,unknown
HCN,unknown
HCN-I,unknown
HCP,unknown
HD,Q864407
HDB,unknown
HE,Q5684524
HEI,unknown
HEI.A,unknown
HEP,unknown
HEQ,unknown
HES,Q1615684
HF,Q5881333
HFC,Q5881864
HHC,unknown
HI,Q5763038
HIG,unknown
HII,Q7257522
HIW,unknown
HIX,unknown
HJV,unknown
HLF,Q572948
HLS,Q5690400
HMC,Q9584
HMN,unknown
HNI,unknown
HNP,Q1507642
HOG,Q192814
HON,Q898208
HP,unknown
HPF,unknown
HPI,unknown
HPP,unknown
HPS,unknown
HQH,unknown
HQL,unknown
HR,unknown
HRB,Q5627799
HRC,Q5761967
HRG,Q147224
HRL,unknown
HRS,unknown
HSBC,Q190464
HSEA,unknown
HSEB,unknown
HST,Q1630559
HSY,Q1056637
HT,unknown
HTD,unknown
HTGC,unknown
HTH,unknown
HTY,unknown
HUBB,unknown
HUM,Q910866
HUN,Q851361
HVT,Q5683881
HVT.A,unknown
HXL,Q5748967
HY,Q19876423
HYB,unknown
HYI,unknown
HYT,unknown
HZO,unknown
IAE,unknown
IBA,Q4838903
IBM,Q37156
IBN,Q1653258
ICB,unknown
IDA,unknown
IDE,unknown
IDT,unknown
IEX,Q5970002
IFF,unknown
IFN,unknown
IGA,unknown
IGD,unknown
IGI,unknown
IGR,unknown
IHC,unknown
IHD,unknown
IHG,Q1424962
IID,unknown
IIF,unknown
IMAX,unknown
INB,unknown
INF,unknown
INFY,Q26989
ING,Q645708
INGR,unknown
INN,unknown
INSI,unknown
INT,Q8035757
INXN,unknown
IP,Q202972
IPG,unknown
IPHI,unknown
IR,Q1663044
IRET,unknown
IRL,unknown
IRS,unknown
ISD,unknown
ISF,unknown
ISG,unknown
IT,unknown
ITCB,unknown
ITG,Q6060808
ITUB,Q1424293
ITW,unknown
IVC,Q4994426
IVR,unknown
IVR-A,unknown
IVZ,unknown
IX,Q906055
JBL,Q2171646
JBN,unknown
JBR,unknown
JBT,Q3156864
JCE,unknown
JDD,unknown
JEQ,unknown
JFR,unknown
JHI,unknown
JHS,unknown
JHX,unknown
JLL,Q1703389
JLS,unknown
JMF,unknown
JMM,unknown
JMT,unknown
JNJ,Q333718
JNPR,Q1049080
JOE,unknown
JOF,unknown
JPC,unknown
JPI,unknown
JPM,Q192314
JPS,unknown
JQC,unknown
JRI,unknown
JRO,unknown
JRS,unknown
JSD,unknown
JTA,unknown
JTD,unknown
JW.A,unknown
JW.B,unknown
JWN,Q174310
K,Q856897
KAI,unknown
KAMN,unknown
KAR,unknown
KB,Q496606
KBH,unknown
KBR,Q596499
KED,unknown
KEP,Q486737
KEX,unknown
KEY,Q1740314
KF,unknown
KFY,Q1728446
KIM,unknown
KIM-I,unknown
KIM-J,unknown
KIM-K,unknown
KKR,unknown
KMB,Q1741634
KMF,unknown
KMG,unknown
KMI,unknown
KMM,unknown
KMPR,Q6387063
KMT,unknown
KMX,unknown
KND,Q921363
KNL,unknown
KO,Q3295867
KOF,unknown
KOP,unknown
KORS,unknown
KR,Q153417
KRA,Q2417728
KRC,unknown
KS,unknown
KSM,unknown
KSS,unknown
KST,unknown
KSU,unknown
KT,Q485908
KTF,unknown
KTP,unknown
KW,unknown
KWR,unknown
KYE,unknown
KYN,unknown
KYO,Q745099
L,unknown
LAD,Q6647881
LAZ,unknown
LB,Q931354
LCI,unknown
LCII,unknown
LCM,unknown
LDF,unknown
LDL,unknown
LDP,unknown
LEA,unknown
LEG,unknown
LEN,Q16981175
LEN.B,unknown
LEO,unknown
LFC,Q1073306
LGI,unknown
LH,Q6466630
LHO,unknown
LII,unknown
LL,Q6703090
LLL,Q1781428
LLY,Q632240
LM,unknown
LMT,Q7240
LNC,Q1825763
LNN,Q6552749
LNT,unknown
LOR,unknown
LOW,Q1373493
LPL,Q483006
LPT,unknown
LPX,unknown
LRN,Q6324302
LSI,unknown
LTC,unknown
LUK,Q6533918
LUV,Q503308
LVS,Q1506045
LXFR,unknown
LXP,unknown
LXP-C,unknown
LYB,Q899255
LYV,Q1061903
LZB,Q6391583
M,Q5479360
MA,Q489921
MAA,unknown
MAC,unknown
MAIN,unknown
MAN,unknown
MANU,unknown
MAS,Q6782872
MATX,unknown
MAV,unknown
MBI,Q1371852
MBT,Q1368919
MCA,unknown
MCC,unknown
MCD,Q38076
MCI,unknown
MCK,unknown
MCN,unknown
MCO,Q675585
MCR,unknown
MCS,Q6758107
MCY,Q16981897
MD,unknown
MDC,unknown
MDP,Q1921579
MDU,unknown
MED,Q6806861
MEI,unknown
MEN,unknown
MER-K,unknown
MER-P,unknown
MET,Q607131
MET-A,unknown
MFA,unknown
MFC,Q1652574
MFD,unknown
MFL,unknown
MFM,unknown
MFT,unknown
MG,unknown
MGA,Q697311
MGM,Q568532
MGU,unknown
MH-A,unknown
MHD,unknown
MHF,unknown
MHI,unknown
MHK,unknown
MHN,unknown
MHO,unknown
MIC,Q6724984
MITT,unknown
MIY,unknown
MKC,unknown
MKC.V,unknown
MKL,Q6770621
MLI,unknown
MLM,Q6776123
MLR,unknown
MMC,Q1786345
MMD,unknown
MMM,Q159433
MMP,unknown
MMS,Q6795931
MMT,unknown
MMU,unknown
MNE,unknown
MNP,unknown
MNR,unknown
MO,Q445007
MOD,unknown
MOG.A,unknown
MOG.B,unknown
MOH,unknown
MON,Q207983
MOS,unknown
MOV,unknown
MP-D,unknown
MPA,unknown
MPC,Q458363
MPLX,unknown
MPV,unknown
MPW,unknown
MPX,unknown
MQT,unknown
MQY,unknown
MRC,unknown
MRK,Q247489
MRO,Q1577587
MS,Q334204
MS-A,unknown
MSCI,Q768773
MSD,unknown
MSF,unknown
MSI,Q634815
MSL,unknown
MSM,unknown
MSP,unknown
MTB,unknown
MTD,unknown
MTDR,unknown
MTH,Q6819538
MTN,Q16986288
MTR,unknown
MTRN,unknown
MTT,unknown
MTX,unknown
MTZ,Q6782217
MUA,unknown
MUC,unknown
MUE,unknown
MUH,unknown
MUI,unknown
MUJ,unknown
MUR,unknown
MUS,unknown
MVC,unknown
MVT,unknown
MWA,unknown
MXE,unknown
MXF,unknown
MXL,unknown
MYC,unknown
MYD,unknown
MYE,unknown
MYF,unknown
MYI,unknown
MYJ,unknown
MYN,unknown
MZF,unknown
NAD,unknown
NAN,unknown
NAV,unknown
NAZ,unknown
NBB,unknown
NBD,unknown
NBHC,unknown
NBR,unknown
NCA,unknown
NCB,unknown
NCI,Q6982423
NCR,unknown
NCS,unknown
NDP,unknown
NEA,unknown
NEE,unknown
NEM,unknown
NEU,unknown
NEV,unknown
NFG,unknown
NFJ,unknown
NFX,unknown
NGG,Q1465461
NGL,unknown
NGS,unknown
NHF,unknown
NHI,unknown
NID,unknown
NIE,unknown
NIM,unknown
NJR,unknown
NJV,unknown
NKE,Q483915
NKG,unknown
NKX,unknown
NLY,unknown
NLY-C,unknown
NLY-D,unknown
NMFC,unknown
NMI,unknown
NMT,unknown
NMY,unknown
NMZ,unknown
NNC,unknown
NNI,Q6990264
NNN,unknown
NNY,unknown
NOAH,unknown
NOC,Q4045482
NOM,unknown
NOV,unknown
NOW,unknown
NP,unknown
NPK,unknown
NPN,unknown
NPO,Q16013760
NPV,unknown
NQP,unknown
NRG,unknown
NRK,unknown
NRP,unknown
NRT,unknown
NS,Q7067712
NSC,Q20858163
NSH,unknown
NSL,unknown
NSM,unknown
NSP,Q16980616
NTC,unknown
NTG,unknown
NTL,unknown
NTX,unknown
NUE,unknown
NUO,unknown
NUS,Q1764040
NUV,unknown
NUW,unknown
NVG,unknown
NVR,Q6955706
NVS,Q507154
NWE,unknown
NWL,unknown
NWN,Q6955989
NX,unknown
NXC,unknown
NXJ,unknown
NXN,unknown
NXP,unknown
NXQ,unknown
NXR,unknown
NYCB,Q6517792
NYT,Q2529982
NYV,unknown
NZF,unknown
O,Q7301386
OAK,unknown
OC,Q7114736
ODC,unknown
OFC,unknown
OGE,Q2007484
OHI,unknown
OI,Q180106
OII,Q1150535
OIS,unknown
OKE,Q11074156
OLN,Q7086908
OLP,unknown
OMC,unknown
OME,unknown
OMI,unknown
OPY,Q7098552
ORA,unknown
ORAN,Q1431486
ORCL,Q19900
ORI,Q7084833
OSK,Q1969091
OXM,Q7115371
OXY,Q2013357
PAA,unknown
PAC,unknown
PAG,unknown
PAI,unknown
PANW,Q7128508
PAY,Q2912154
PB,unknown
PBA,unknown
PBF,unknown
PBH,Q7241774
PBI,unknown
PCF,unknown
PCG,Q1815011
PCK,unknown
PCM,unknown
PCN,unknown
PCQ,unknown
PDI,unknown
PDM,unknown
PDT,unknown
PEB,unknown
PEG,unknown
PEI,Q7164054
PEI-B,unknown
PEO,Q7178935
PEP,Q334800
PFD,unknown
PFE,Q206921
PFG,Q3403513
PFH,unknown
PFK,unknown
PFL,unknown
PFN,unknown
PFO,unknown
PFS,Q7252517
PG,Q212405
PGP,unknown
PGR,Q7248721
PH,unknown
PHD,unknown
PHG,Q170416
PHH,Q7119231
PHI,Q644167
PHK,unknown
PHM,unknown
PHT,unknown
PII,Q1850587
PJC,Q3389022
PKE,unknown
PKG,unknown
PKI,unknown
PKO,unknown
PKX,unknown
PLD,unknown
PLOW,unknown
PLT,unknown
PM,Q1852556
PMC,unknown
PMF,unknown
PML,unknown
PMM,unknown
PMO,unknown
PMT,unknown
PMX,unknown
PNC,Q38928
PNC-P,unknown
PNC-Q,unknown
PNF,unknown
PNI,unknown
PNM,unknown
PNW,Q26110522
POL,unknown
POR,Q7231939
POST,unknown
POT,Q902908
PPL,Q2044512
PRA,unknown
PRI,Q7243481
PRLB,unknown
PRO,Q20858221
PRU,Q2114414
PSA,unknown
PSA-U,unknown
PSA-V,unknown
PSA-W,unknown
PSB,unknown
PSB-U,unknown
PSF,unknown
PSO,Q1916402
PSX,Q1656230
PTR,Q503182
PTY,unknown
PUK,Q1374135
PUK-A,unknown
PVH,Q1132272
PWR,unknown
PX,Q902780
PXD,Q4046987
PYN,unknown
PYS,unknown
PZC,unknown
PZN,unknown
QEP,unknown
QUAD,unknown
R,Q2178198
RAS-A,unknown
RAS-B,unknown
RAS-C,unknown
RBA,unknown
RBC,unknown
RBS-S,unknown
RCI,Q165684
RCL,Q427881
RCS,unknown
RDC,unknown
RDN,Q7280290
RDS.A,Q154950
RDS.B,unknown
RDY,Q908961
RE,unknown
REG,Q7308000
RENN,unknown
RES,unknown
RESI,unknown
REV,Q1459595
REX,unknown
RF,Q917131
RF-A,unknown
RFI,unknown
RGA,unknown
RGC,Q835638
RGR,Q1508526
RGS,Q7309325
RH,unknown
RHI,Q2157448
RHP,unknown
RHT,Q485593
RIG,Q686785
RIO,Q821293
RJF,Q7298901
RL,Q1641437
RLGY,unknown
RLH,Q7304530
RLI,Q7276947
RLJ,unknown
RM,unknown
RMD,unknown
RMT,unknown
RNP,unknown
RNR,unknown
RNR-C,unknown
ROG,Q16984188
ROK,Q1529234
ROL,Q7361273
ROP,Q16932392
RPAI,unknown
RPM,unknown
RPT,Q7289304
RPT-D,unknown
RQI,unknown
RRC,Q4048013
RRD,unknown
RRTS,unknown
RS,Q7311031
RSG,Q7314415
RSO,unknown
RSO-A,unknown
RSO-B,unknown
RST,Q7368695
RTEC,unknown
RTN,Q156644
RVT,unknown
RWT,unknown
RXN,unknown
RY,Q735261
RYN,unknown
SAH,unknown
SAM,Q894558
SAN-A,unknown
SAN-B,unknown
SAN-C,unknown
SAN-I,unknown
SAP,Q552581
SAR,unknown
SBH,Q7405065
SBI,unknown
SBR,unknown
SCCO,unknown
SCD,unknown
SCG,Q7389067
SCHW,unknown
SCI,Q11306218
SCL,Q3208192
SCM,unknown
SCS,unknown
SCX,unknown
SEE,unknown
SEM,Q16984522
SEMG,unknown
SEP,unknown
SF,unknown
SFE,unknown
SFL,unknown
SGF,unknown
SHG,Q487230
SHI,unknown
SHO,unknown
SHW,Q48881
SIG,unknown
SIX,Q824278
SJM,Q7742790
SJR,unknown
SJW,Q17141393
SKM,Q493145
SKT,Q7682888
SKX,Q2945643
SLB,Q1425316
SLCA,unknown
SLF,Q835456
SLG,Q7391016
SLG-I,unknown
SM,Q16984687
SMFG,Q2094989
SMG,Q2414097
SMLP,unknown
SMM,unknown
SMP,unknown
SNA,unknown
SNE,Q41187
SNN,unknown
SNP,Q831445
SNX,unknown
SNY,Q158205
SO,unknown
SON,Q7562151
SOR,unknown
SPA,unknown
SPB,unknown
SPE,unknown
SPG,Q2287759
SPGI,unknown
SPH,unknown
SPLP,unknown
SPN,Q20486937
SPR,unknown
SPXX,unknown
SQM,unknown
SRE,unknown
SRF,unknown
SRI,unknown
SSD,unknown
SSL,unknown
SSP,unknown
SSTK,unknown
SSW,unknown
SSW-D,unknown
ST,unknown
STAG,unknown
STAR,unknown
STC,unknown
STI,Q181507
STI-A,unknown
STI-E,unknown
STK,unknown
STL,unknown
STM,Q661845
STN,unknown
STO,Q1776022
STON,unknown
STT,Q2037125
STT-C,unknown
STWD,unknown
STZ,unknown
STZ.B,unknown
SU,Q1516410
SUI,Q7638250
SUI-A,unknown
SUN,unknown
SUP,unknown
SVU,unknown
SWK,Q706094
SWM,unknown
SWN,Q7571413
SWX,Q7571280
SWZ,unknown
SXI,unknown
SXT,unknown
SYK,unknown
SYT,Q688613
SYX,Q7663801
SYY,Q2376711
SZC,unknown
T,Q35476
TAP,Q3319685
TARO,Q16131515
TBI,Q33127130
TCAP,unknown
TCF,unknown
TCF-C,unknown
TCO,Q7688650
TCO-J,unknown
TCP,unknown
TD,Q1194832
TDC,Q430745
TDE,unknown
TDF,unknown
TDG,Q7833612
TDI,unknown
TDJ,unknown
TDY,Q7696127
TEF,unknown
TEI,unknown
TEL,Q663452
TEN,unknown
TEO,Q1544312
TER,Q2404292
TEVA,Q898750
TEX,Q1937503
TFX,unknown
TG,unknown
TGH,unknown
TGI,Q15507516
TGNA,Q20648663
TGT,Q1046951
THC,Q3518066
THG,Q5649395
THO,Q7796068
THR,unknown
THS,Q16958009
TI,Q144617
TIF,unknown
TISI,unknown
TJX,Q1285819
TKC,Q283852
TKF,unknown
TKR,unknown
TLI,unknown
TLK,unknown
TLP,unknown
TLYS,unknown
TM,Q53268
TMO,unknown
TNC,unknown
TNH,unknown
TOL,unknown
TOT,Q154037
TOWR,unknown
TPC,Q7856971
TPL,unknown
TPR,unknown
TPX,unknown
TPZ,unknown
TR,unknown
TRC,Q7695260
TREC,unknown
TREX,unknown
TRGP,unknown
TRI,Q1141267
TRK,Q2308517
TRN,unknown
TRNO,unknown
TRP,Q1516108
TRV,unknown
TS,unknown
TSI,unknown
TSM,Q713418
TSN,Q1325987
TSS,unknown
TSU,unknown
TTC,Q935059
TTF,unknown
TTM,Q188514
TTP,unknown
TU,Q165858
TUP,Q16985829
TV,Q47099
TVC,unknown
TVE,unknown
TWN,unknown
TWO,unknown
TWX,Q191715
TX,unknown
TXT,Q2140315
TY,unknown
TYG,unknown
TYL,unknown
UAA,unknown
UAL,Q174769
UBA,unknown
UBP,unknown
UDR,unknown
UFI,unknown
UFS,Q1238739
UGI,unknown
UGP,unknown
UHS,Q7893967
UHT,unknown
UIS,Q518016
UL,unknown
UMH,unknown
UN,Q157062
UNF,Q7884645
UNH,unknown
UNM,unknown
UNP,Q725793
UPS,Q155026
URI,Q7889101
USB,Q739084
USB-H,unknown
USB-M,unknown
USG,unknown
USM,Q2466256
USNA,Q2502355
USPH,unknown
UTF,unknown
UTL,Q17144598
UTX,Q1045758
